No,Tanggal,Periode,Dosen,Kode MK,Mata Kuliah,Responden,Memberikan kesempatan bertanya dan berdiskusi,Memberikan kesempatan kepada mahasiswa untuk perbaikan nilai,Bersikap terbuka dalam menerima kritik dari mahasiswa,Metode pembelajaran yang digunakan mendorong keaktifan mahasiswa,Dosen menegakkan etika akademik dalam proses pembelajaran,Membuat suasana di kelas menyenangkan,Dosen membalas chat dengan cepat,Penyampaian materi jelas dan mudah dipahami,Memberikan tugas praktik (proyek),Dosen berkomunikasi dengan jelas dan sopan,Tidak membosankan,Memfasilitasi kunjungan industri/praktik lapangan,Menggunakan LCD,Menguasai materi yang diajarkan,Memberikan penilaian secara objektif dan terbuka,Menjelaskan Rencana Pembelajaran Semester (RPS) di awal semester,Dosen berpakaian rapi dan sopan,Materi perkuliahan sesuai dengan RPS,Mengaitkan materi kuliah dengan fakta kehidupan sehari-hari,Menggunakan media pembelajaran beragam,Dosen hadir tepat waktu dan konsisten dengan jadwal perkuliahan,Dosen menjadi contoh teladan yang baik,Materi perkuliahan sesuai dengan kemampuan mahasiswa,Hal paling baik dari dosen ini adalah,Hal yang perlu diperbaiki dari dosen ini adalah,Nilai Akhir
1,18/5/2026, 11.59.24,zNlxTNtfgfJ1xeOpZf8o,Miftahul Hairia, S.Pd., M.Pd,PD3206,Aplikasi Komputer,R0001,"","","","","","","","","","","","","","","","","","","","","","","","","",4.4
2,18/5/2026, 11.57.25,zNlxTNtfgfJ1xeOpZf8o,Fajar Ramadhan, S.Pd., M.T,PD3210,Data dan Sistem Informasi,R0002,"","","","","","","","","","","","","","","","","","","","","","","","","",5
3,18/5/2026, 12.05.31,zNlxTNtfgfJ1xeOpZf8o,Miftahul Hairia, S.Pd., M.Pd,PD3206,Aplikasi Komputer,R0003,"","","","","","","","","","","","","","","","","","","","","","","","","",4.266666666666667
4,14/7/2026, 16.58.47,zYynCm1cPesNcioablpt,Fajar Ramadhan, S.Pd., M.T,PD3210,Data dan Sistem Informasi,R0004,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","baik dan ramah","tidak ada",4
5,18/5/2026, 11.56.28,zNlxTNtfgfJ1xeOpZf8o,Ariani Amri, S.Pd., M.Pd.,PD3208,Peralatan Teknik,R0005,"","","","","","","","","","","","","","","","","","","","","","","","","",5
6,18/5/2026, 11.56.01,zNlxTNtfgfJ1xeOpZf8o,Rahman Syam, S.Pd., M.Si,PD3207,Teknik Pengukuran,R0006,"","","","","","","","","","","","","","","","","","","","","","","","","",4
7,16/5/2026, 12.20.38,zNlxTNtfgfJ1xeOpZf8o,Rahman Syam, S.Pd., M.Si,PD3207,Teknik Pengukuran,R0007,"","","","","","","","","","","","","","","","","","","","","","","","","",4.2
8,18/5/2026, 11.55.10,zNlxTNtfgfJ1xeOpZf8o,Ariani Amri, S.Pd., M.Pd.,PD3208,Peralatan Teknik,R0008,"","","","","","","","","","","","","","","","","","","","","","","","","",4.2
9,18/5/2026, 12.12.18,zNlxTNtfgfJ1xeOpZf8o,Fajar Ramadhan, S.Pd., M.T,PD3210,Data dan Sistem Informasi,R0009,"","","","","","","","","","","","","","","","","","","","","","","","","",5
10,18/5/2026, 11.56.53,zNlxTNtfgfJ1xeOpZf8o,Fajar Ramadhan, S.Pd., M.T,PD3205,Keselamatan dan Kesehatan Kerja (K3),R0010,"","","","","","","","","","","","","","","","","","","","","","","","","",5
11,16/7/2026, 15.10.40,zYynCm1cPesNcioablpt,Muslim Andi Yusuf, S.H., M.H,WUD2206,Pendidikan Kewarganegaraan,R0011,"4","3","3","3","3","3","3","3","3","4","3","3","3","3","3","3","4","3","3","3","3","3","3","Cukup baik","TDK ada",3.130434782608696
12,18/5/2026, 11.55.14,zNlxTNtfgfJ1xeOpZf8o,Muslim Andi Yusuf, S.H., M.H,WUD2206,Pendidikan Kewarganegaraan,R0012,"","","","","","","","","","","","","","","","","","","","","","","","","",5
13,18/5/2026, 11.51.26,zNlxTNtfgfJ1xeOpZf8o,Fajar Ramadhan, S.Pd., M.T,PD3205,Keselamatan dan Kesehatan Kerja (K3),R0013,"","","","","","","","","","","","","","","","","","","","","","","","","",5
14,17/5/2026, 13.57.14,zNlxTNtfgfJ1xeOpZf8o,Ariani Amri, S.Pd., M.Pd.,PD3208,Peralatan Teknik,R0014,"","","","","","","","","","","","","","","","","","","","","","","","","",4.466666666666667
15,14/7/2026, 17.02.20,zYynCm1cPesNcioablpt,Gunawan Tari, S.T., M.T,PD3206,Aplikasi Komputer,R0015,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","ramah","tidak ada",4
16,18/5/2026, 12.03.29,zNlxTNtfgfJ1xeOpZf8o,Fajar Ramadhan, S.Pd., M.T,PD3205,Keselamatan dan Kesehatan Kerja (K3),R0016,"","","","","","","","","","","","","","","","","","","","","","","","","",5
17,16/5/2026, 13.36.10,zNlxTNtfgfJ1xeOpZf8o,Miftahul Hairia, S.Pd., M.Pd,PD3209,Menggambar Teknik,R0017,"","","","","","","","","","","","","","","","","","","","","","","","","",4.8
18,18/5/2026, 12.03.11,zNlxTNtfgfJ1xeOpZf8o,Ariani Amri, S.Pd., M.Pd.,PD3208,Peralatan Teknik,R0018,"","","","","","","","","","","","","","","","","","","","","","","","","",4.8
19,14/7/2026, 17.01.39,zYynCm1cPesNcioablpt,Fajar Ramadhan, S.Pd., M.T,PD3208,Peralatan Teknik,R0019,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","baik","tidak ada",4
20,18/5/2026, 11.59.39,zNlxTNtfgfJ1xeOpZf8o,Fajar Ramadhan, S.Pd., M.T,PD3205,Keselamatan dan Kesehatan Kerja (K3),R0020,"","","","","","","","","","","","","","","","","","","","","","","","","",4.733333333333333
21,18/5/2026, 11.53.17,zNlxTNtfgfJ1xeOpZf8o,Rahman Syam, S.Pd., M.Si,PD3207,Teknik Pengukuran,R0021,"","","","","","","","","","","","","","","","","","","","","","","","","",4.866666666666666
22,19/7/2026, 20.35.31,zYynCm1cPesNcioablpt,Fajar Ramadhan, S.Pd., M.T,PD3208,Peralatan Teknik,R0022,"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","ramah dan tidak pernah marah, murah senyum dan selalu memberikan materi yang mudah di mengerti","pertahankan hal baik jika perlu di kembangkan lagi",5
23,18/5/2026, 12.04.58,zNlxTNtfgfJ1xeOpZf8o,Miftahul Hairia, S.Pd., M.Pd,PD3209,Menggambar Teknik,R0023,"","","","","","","","","","","","","","","","","","","","","","","","","",4.2
24,18/5/2026, 11.56.37,zNlxTNtfgfJ1xeOpZf8o,Fajar Ramadhan, S.Pd., M.T,PD3205,Keselamatan dan Kesehatan Kerja (K3),R0024,"","","","","","","","","","","","","","","","","","","","","","","","","",5
25,18/5/2026, 12.03.11,zNlxTNtfgfJ1xeOpZf8o,Miftahul Hairia, S.Pd., M.Pd,PD3206,Aplikasi Komputer,R0025,"","","","","","","","","","","","","","","","","","","","","","","","","",5
26,16/5/2026, 13.24.57,zNlxTNtfgfJ1xeOpZf8o,Ariani Amri, S.Pd., M.Pd.,PD3208,Peralatan Teknik,R0026,"","","","","","","","","","","","","","","","","","","","","","","","","",5
